"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.37750051766401e-50,0.791385367021117,0.726,0.545,9.97880720019234e-46,"E11.5","Septin1"
7.91670993318104e-50,0.880852350011316,0.579,0.373,1.07081418556207e-45,"E11.5","Msh6"
9.16681847100117e-50,0.796996221786347,0.748,0.575,1.23990386638762e-45,"E11.5","Ythdf1"
9.61482471920749e-50,1.30748612905753,0.293,0.12,1.30050119152001e-45,"E11.5","Oser1"
9.97568556660758e-50,1.56576878167654,0.363,0.18,1.34931122973934e-45,"E11.5","Scube2"
1.00692862052559e-49,0.75451496377447,0.758,0.551,1.36197165212291e-45,"E11.5","Tyms"
1.20854094076507e-49,0.942528566585906,0.502,0.298,1.63467247647884e-45,"E11.5","Fbl"
1.28229102716917e-49,1.33669672123289,0.315,0.137,1.73442684334901e-45,"E11.5","Tarbp2"
1.34449421345496e-49,0.851402719023211,0.859,0.734,1.81856287311917e-45,"E11.5","Sox2"
1.36607063761123e-49,0.887019072667818,0.593,0.38,1.84774714443295e-45,"E11.5","Pbx2"
1.37621990444637e-49,0.886829292737885,0.565,0.347,1.86147504275416e-45,"E11.5","Haus2"
1.56426100648899e-49,1.30746736180813,0.353,0.167,2.11581943737701e-45,"E11.5","Asf1b"
1.9249012652407e-49,0.925876245450772,0.627,0.435,2.60362145136458e-45,"E11.5","Ndufb9"
2.4828985665473e-49,1.06046128632909,0.515,0.309,3.35836860111187e-45,"E11.5","Errfi1"
2.65253691223796e-49,0.896877751145594,0.609,0.406,3.58782142749307e-45,"E11.5","Fzr1"
2.77726148306068e-49,0.858375721325948,0.571,0.363,3.75652388198787e-45,"E11.5","Esco2"
2.81634215546821e-49,0.819641586458161,0.649,0.431,3.8093843994863e-45,"E11.5","Nde1"
2.97782218664247e-49,0.894052122388627,0.594,0.384,4.02780228965261e-45,"E11.5","Rab1b"
3.69621552332074e-49,0.823940990515278,0.667,0.463,4.99950111684364e-45,"E11.5","Txn1"
5.01988624592085e-49,1.1131877403107,0.383,0.188,6.78989813623254e-45,"E11.5","Qrfprl"
5.76844112438286e-49,0.781334256637699,0.733,0.539,7.80239346484025e-45,"E11.5","Rpl39"
7.50486967478294e-49,0.815054987842614,0.726,0.522,1.01510867221114e-44,"E11.5","Ppat"
7.88416502647901e-49,0.941983119303778,0.48,0.266,1.06641216148155e-44,"E11.5","Ube2c"
8.12748050739447e-49,1.41149321699722,0.304,0.134,1.09932301343018e-44,"E11.5","Gadd45gip1"
8.85642194904115e-49,1.51852073677375,0.26,0.1,1.19791963282731e-44,"E11.5","Praf2"
9.01597883362515e-49,0.974880647354033,0.531,0.32,1.21950129703614e-44,"E11.5","Espl1"
1.27177778761495e-48,1.1851044427823,0.345,0.159,1.72020663552798e-44,"E11.5","H2ac4"
1.38318780107741e-48,0.75148609695519,0.697,0.51,1.87089981973731e-44,"E11.5","Akirin1"
1.51759665279249e-48,0.97644373192375,0.549,0.338,2.05270123256712e-44,"E11.5","Impdh2"
1.58209915050536e-48,0.79977657056471,0.639,0.445,2.13994731097355e-44,"E11.5","Ap2m1"
1.67534304072813e-48,1.46212812169405,0.267,0.105,2.26606899688887e-44,"E11.5","Mical1"
2.58017868621391e-48,1.04938622415076,0.473,0.266,3.48994969097294e-44,"E11.5","Mybl2"
2.69931820145408e-48,0.983685869402621,0.492,0.288,3.65109779928678e-44,"E11.5","Phf5a"
2.77181431380857e-48,0.907976941542796,0.46,0.254,3.74915604085747e-44,"E11.5","Higd1a"
3.1177148447545e-48,0.934200721031814,0.586,0.385,4.21702109901494e-44,"E11.5","Cyc1"
6.12652048217887e-48,0.84471862761002,0.655,0.464,8.28673160419514e-44,"E11.5","Zfp146"
6.19211929416847e-48,1.10800202219031,0.41,0.21,8.37546055729227e-44,"E11.5","Arl6ip4"
6.97554787143966e-48,1.57118480133192,0.258,0.102,9.43512605090929e-44,"E11.5","Sf3a2"
