"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Prickle1",1.25488763016399e-23,0.834420314688539,0.783,0.635,1.2787304951371e-19,"0","Prickle1"
"Prex2",1.38738495181509e-23,0.854522420688054,0.571,0.331,1.41374526589957e-19,"0","Prex2"
"Dab2",1.47993996868841e-23,0.89796202305164,0.52,0.269,1.50805882809349e-19,"0","Dab2"
"Asph",1.51423786701562e-23,0.800570167004803,0.689,0.486,1.54300838648891e-19,"0","Asph"
"Fam114a1",1.54297400969167e-23,1.04279186427626,0.433,0.203,1.57229051587581e-19,"0","Fam114a1"
"Actn1",1.63111602509947e-23,0.873461788632436,0.554,0.311,1.66210722957636e-19,"0","Actn1"
"Msrb3",1.71964657108559e-23,0.994204322265014,0.473,0.239,1.75231985593621e-19,"0","Msrb3"
"Adcy2",1.72720089075806e-23,1.01984397918443,0.648,0.426,1.76001770768246e-19,"0","Adcy2"
"Col24a1",1.72961423961992e-23,1.76031463100441,0.405,0.19,1.7624769101727e-19,"0","Col24a1"
"Mylip",2.09796376893041e-23,1.44059262901951,0.371,0.169,2.13782508054009e-19,"0","Mylip"
"Erg",2.43822327967085e-23,1.14606217115623,0.456,0.231,2.48454952198459e-19,"0","Erg"
"Mfap2",2.93637714801233e-23,1.10035767111921,0.492,0.269,2.99216831382456e-19,"0","Mfap2"
"Col27a1",3.46567160721567e-23,0.605304426995703,0.593,0.331,3.53151936775277e-19,"0","Col27a1"
"Clmn",4.81528338493834e-23,1.10397101592645,0.441,0.22,4.90677376925217e-19,"0","Clmn"
"Ston1",5.15815859329116e-23,1.264357136342,0.358,0.154,5.2561636065637e-19,"0","Ston1"
"Glis3",5.31753742433759e-23,1.39772035056522,0.586,0.368,5.41857063540001e-19,"0","Glis3"
"Yap1",6.30341206702314e-23,0.877980098122296,0.573,0.336,6.42317689629658e-19,"0","Yap1"
"Trabd2b",8.3449199749635e-23,1.03949970562432,0.529,0.289,8.50347345448781e-19,"0","Trabd2b"
"Amot",8.85502076978301e-23,1.09392723563833,0.492,0.271,9.02326616440889e-19,"0","Amot"
"Tpm1",1.28176778614548e-22,0.576288458577681,0.733,0.503,1.30612137408225e-18,"0","Tpm1"
"Rbms1",1.57121959041129e-22,0.525647897716073,0.957,0.906,1.60107276262911e-18,"0","Rbms1"
"Peg3",1.82110580469724e-22,0.663266781292352,0.895,0.821,1.85570681498649e-18,"0","Peg3"
"Phactr2",1.99624089215105e-22,0.946749807452321,0.738,0.535,2.03416946910192e-18,"0","Phactr2"
"Hs6st2",2.08469516789829e-22,0.855393495871121,0.831,0.708,2.12430437608836e-18,"0","Hs6st2"
