"","Cavity","Muscle","Cartilage","Jaw and tooth","Liver","Brain","Spinal cord","Connective tissue","GI track","Heart","Dorsal root ganglia","Lung","Olfactory epithelium"
"Tcf12(+)",-0.907630133584273,0.602261124688948,0.75564502108441,0.158994144054333,-0.122860239726568,-0.0778354755206079,-2.33297415974697,-0.156129210446794,1.47389963623799,-0.696462503261028,-0.566208243604507,0.891409230800083,0.977890809024991
"Tcf3(+)",0.779821124403376,-0.041848374581122,0.284287592955519,-1.10001499823449,1.47281438197222,-0.511096962109586,-1.88514699376504,0.754202616612569,0.924187170985566,0.889927035944386,-0.959767321127109,0.326627032492377,-0.933992305548663
"Tcf7l1(+)",0.0129624359726047,1.01260659323522,1.13466302386415,1.09731554862468,-0.677404161074478,-1.69558115233891,-1.78113925449366,0.355856683588491,0.854918805048041,-0.0585343943014807,-0.718786110465957,0.727407999050964,-0.264286016709658
"Tcf7l2(+)",0.119744879296564,1.92702096531143,1.37905457652072,1.287633286627,-1.08448589724492,-0.870569135041879,-0.963351948369349,0.167597911107787,-0.200738422034943,0.293578177853367,-1.11979157239986,-0.51337819313486,-0.422314628491061
"Tead4(+)",-0.0682665026201641,3.16720437846092,-0.087354564993478,0.224223076542537,-0.207371013894968,-0.628701219295076,-0.617386866116747,-0.166817018823637,-0.505323301443389,0.321126880218023,-0.487722714680018,-0.378429079435484,-0.565182053918517
"Tfap2a(+)",1.26000361864806,-0.822474897855568,-0.895478750691231,-0.260796556740377,-0.408216455984534,0.242393837243558,-0.00813600889417504,-0.232341363618148,0.0227115630179433,-0.675466665252388,2.73394652303913,-0.792908595657625,-0.163236247254654
"Tfap2b(+)",-0.294021543052286,-0.747664359077374,-0.806533045208403,1.37265088916995,-0.739628544047817,-0.300814352034515,-0.114475359396669,-0.0235672497259761,-0.91122013653397,2.65376491440189,0.0808799581485961,-0.455501186235364,0.286130013591945
"Tfap2c(+)",1.42032731241131,-0.432562829887423,-0.505891307671438,-0.577259577059755,-0.475616739007956,2.41677859233537,-0.550797766357725,1.19601411580311,-0.531353239948262,-0.140090032807746,-0.606516175936496,-0.606516175936496,-0.606516175936496
"Tfdp1(+)",0.522923666069755,-0.016788453490109,-0.0553158206382562,-0.610714318780673,2.53449456048218,-0.669360048432541,-1.45956842198832,0.235496662619542,0.176312827946139,0.855087768410433,-0.983308931660327,0.195542720099516,-0.724802210637337
"Tfdp2(+)",0.0575896280155972,-0.328152643983693,0.118106078767106,-0.741928897698464,2.55376658042156,0.591621009449373,-1.7190918615905,0.522909835417321,0.265406752274512,-0.339419010241389,-1.01871046784881,0.0206406824294783,0.0172623145879085
