"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","nCount_SCT","nFeature_SCT","SCT_snn_res.0.9","seurat_clusters","RNA_snn_res.1","celltype","Size_Factor","Pseudotime","State"
"32x29_7","51_1",10030.4962854868,4298,0.602789049031543,18611,4456,"12","Spall 1","5","Spall 1",0.307667670625822,18.934085696289,"5"
"32x26_7","51_1",14008.4332716743,5003,0.402268843333756,19046,4997,"12","Spall 1","5","Spall 1",0.43108754709884,18.6618519825001,"5"
"39x24_7","51_1",14406.6843392023,4872,0.528772806438206,19274,4869,"12","Spall 2","17","Spall 2",0.443467335627144,18.4339601957423,"5"
"39x27_7","51_1",8085.14305987433,3684,0.459461003634771,17889,4266,"21","Spall 1","21","Spall 1",0.248099782312785,14.1522222333362,"12"
"39x18_7","51_1",34915.7689260807,6649,0.375628944933936,20745,6286,"20","Dpall 1","13","Dpall 1",1.08387726127708,14.8439034960924,"12"
"39x25_7","51_1",12421.3127595253,4591,0.349294280748062,19283,4597,"12","Spall 2","17","Spall 2",0.382387412074009,18.3487260685759,"5"
"39x20_7","51_1",13488.0569538231,4599,0.376340194947537,19595,4600,"20","Spall 2","17","Spall 2",0.415683688090339,15.042953615762,"5"
"39x19_7","51_1",31998.5771618396,6587,0.38115270048637,20962,6318,"20","Dpall 1","13","Dpall 1",0.991548609428585,14.9643422411132,"12"
"39x26_7","51_1",13128.8262701839,4707,0.45765047725095,19525,4709,"12","Spall 1","21","Spall 1",0.405036439941314,18.4298283692772,"5"
"31x28_7","51_1",8601.80474201757,4076,0.676757242651978,18102,4451,"12","Spall 1","5","Spall 1",0.26413365600466,18.8390536088629,"5"
"31x30_7","51_1",12190.172580892,4722,0.74171499596336,19224,4733,"12","Spall 1","5","Spall 1",0.374008216785132,18.7669745007061,"5"
"31x27_7","51_1",8746.45434701245,4131,0.476254817919956,18183,4475,"12","Spall 1","5","Spall 1",0.267850742636568,18.6886856727921,"5"
